,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
282,APPLE,Mac,,8,Others,Others,1,15.6,SSD,512,139991
283,ASUS,Window,DDR5,16,Intel,Others,1,15.6,SSD,1024,109991
284,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,154990
285,Lenovo,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,62990
286,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,194991
287,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,44991
288,ASUS,Window,DDR4,8,Intel,Others,1,14.0,SSD,512,47990
289,DELL,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,43668
290,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,135991
291,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
292,ASUS,Window,DDR5,16,AMD,AMD,1,15.6,SSD,512,98990
293,Infinix,Window,Others,16,Intel,Others,1,15.6,SSD,512,46991
294,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,35990
295,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
296,ASUS,Window,DDR5,16,Intel,Others,1,15.6,SSD,1024,109991
297,APPLE,Mac,,8,Others,Others,1,15.6,SSD,512,139991
298,DELL,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,74770
299,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
300,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,40799
301,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,69490
302,ASUS,Window,DDR4,8,Intel,Others,1,14.0,SSD,512,39991
303,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
304,ASUS,Window,Others,16,AMD,AMD,1,15.6,SSD,512,99991
305,APPLE,Mac,,16,Others,Others,1,15.6,SSD,1024,241991
306,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,40991
307,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
308,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,60391
309,HP,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,69991
310,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,44991
311,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
312,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,44991
313,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,60391
314,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,69490
315,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,40799
316,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
317,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
318,HP,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,55991
319,Lenovo,Window,Others,16,Intel,Others,1,15.6,SSD,512,74991
320,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
321,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
322,HP,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,69991
323,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,44991
324,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,1024,59991
325,APPLE,Mac,,16,Others,Others,1,15.6,SSD,512,222991
326,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
327,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
328,DELL,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,74770
329,ASUS,Window,DDR5,16,Intel,Others,1,15.6,SSD,1024,109991
330,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
331,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
332,acer,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,62990
333,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,40991
334,MSI,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,58499
335,Lenovo,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,65991
336,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
337,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
338,DELL,Window,DDR5,16,Intel,Others,1,15.6,SSD,512,111991
339,Lenovo,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,68491
340,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
341,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
342,Infinix,Window,Others,16,Intel,Others,1,15.6,SSD,512,46991
343,ASUS,Window,DDR4,8,Intel,Others,2,14.0,HDD,1024,83990
344,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,54990
345,ASUS,Others,Others,4,Intel,Others,1,14.0,SSD,128,14991
346,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
